Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",111.500000,-88.000000,0.000000,top
"C2","0.22uF","C_0603_1608Metric",119.000000,-91.000000,0.000000,top
"C3","0.01u","C_0603_1608Metric",114.500000,-84.500000,270.000000,top
"C4","10u","C_0805_2012Metric",111.500000,-81.000000,0.000000,top
"C5","0.1u","C_0603_1608Metric",124.800000,-86.600000,0.000000,top
"C6","0.1u","C_0603_1608Metric",124.800000,-84.600000,0.000000,top
"J1","Grove","GROVE",105.500000,-90.500000,90.000000,top
"Q1","Q_NMOS_GSD","SOT-23",125.000000,-81.600000,0.000000,top
"Q2","Q_NMOS_GSD","SOT-23",125.000000,-89.700000,0.000000,top
"Q3","Q_NMOS_GSD","SOT-23",119.900000,-95.600000,270.000000,top
"Q4","Q_NMOS_GSD","SOT-23",125.900000,-95.600000,270.000000,top
"Q5","Q_NMOS_GSD","SOT-23",113.900000,-95.600000,270.000000,top
"Q6","Q_NMOS_GSD","SOT-23",108.400000,-95.600000,270.000000,top
"R1","10k","R_0603_1608Metric",128.000000,-81.600000,270.000000,top
"R2","10k","R_0603_1608Metric",128.000000,-89.700000,270.000000,top
"R3","10k","R_0603_1608Metric",108.400000,-98.300000,180.000000,top
"R4","10k","R_0603_1608Metric",125.900000,-98.300000,180.000000,top
"R5","10k","R_0603_1608Metric",113.900000,-98.300000,180.000000,top
"R6","10k","R_0603_1608Metric",119.900000,-98.300000,180.000000,top
"R7","10k","R_0603_1608Metric",122.000000,-81.600000,270.000000,top
"R8","10k","R_0603_1608Metric",122.000000,-89.700000,270.000000,top
"R9","10k","R_0603_1608Metric",108.400000,-92.800000,180.000000,top
"R10","10k","R_0603_1608Metric",125.900000,-92.800000,180.000000,top
"R11","10k","R_0603_1608Metric",113.900000,-92.800000,180.000000,top
"R12","10k","R_0603_1608Metric",119.900000,-92.800000,180.000000,top
"U1","LD3985M18R_SOT23","SOT-23-5",111.500000,-84.500000,90.000000,top
"U2","ISM303DAC","LGA12",119.000000,-87.500000,0.000000,top
